bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
way/203623276-220,220,f,Substation,f,way/203623276,-2.246878096292946,41.963087857705965,ES,POINT (-2.246878096292946 41.963087857705965)
way/205141906-220,220,f,Substation,f,way/205141906,-2.894976250728704,43.2207975652827,ES,POINT (-2.8949762507287042 43.2207975652827)
way/207915691-220,220,f,Substation,f,way/207915691,1.3602990490949676,41.55435112548724,ES,POINT (1.3602990490949676 41.55435112548724)
way/209332566-220,220,f,Substation,f,way/209332566,2.1054214036275165,41.37700792361854,ES,POINT (2.1054214036275165 41.37700792361854)
way/210411778-220,220,f,Substation,f,way/210411778,1.2015862092191076,41.49646402082115,ES,POINT (1.2015862092191076 41.49646402082115)
way/215806463-220,220,f,Substation,f,way/215806463,-3.421259200358156,36.89485361494648,ES,POINT (-3.421259200358156 36.894853614946484)
way/217745445-400,400,f,Substation,f,way/217745445,-5.994729950268404,43.38871952471196,ES,POINT (-5.994729950268404 43.38871952471196)
way/217979941-220,220,f,Substation,f,way/217979941,0.4713765383513336,41.18845264973313,ES,POINT (0.4713765383513336 41.18845264973313)
way/218432502-220,220,f,Substation,f,way/218432502,-3.8021382431814015,39.68054788503171,ES,POINT (-3.8021382431814024 39.68054788503171)
way/219408050-220,220,f,Substation,f,way/219408050,-6.061378563049451,41.77735342229725,ES,POINT (-6.061378563049451 41.77735342229725)
way/220179629-220,220,f,Substation,f,way/220179629,-3.5505527947631466,42.68178556964536,ES,POINT (-3.5505527947631466 42.681785569645356)
way/220890042-220,220,f,Substation,f,way/220890042,-8.339889545066185,42.69018918538479,ES,POINT (-8.339889545066185 42.69018918538479)
way/221182424-220,220,f,Substation,f,way/221182424,-8.317401788129173,42.34225573843511,ES,POINT (-8.317401788129173 42.34225573843511)
way/221193996-220,220,f,Substation,f,way/221193996,-8.312135404466584,42.12434062310655,ES,POINT (-8.312135404466584 42.12434062310655)
way/222867769-220,220,f,Substation,f,way/222867769,-6.464415446271155,38.95817139163503,ES,POINT (-6.464415446271155 38.95817139163503)
way/222873301-220,220,f,Substation,f,way/222873301,-6.978944974197516,38.8379261481081,ES,POINT (-6.978944974197516 38.8379261481081)
way/222885175-220,220,f,Substation,f,way/222885175,-5.9136888468102535,36.48937438463572,ES,POINT (-5.9136888468102535 36.48937438463572)
way/222885498-220,220,f,Substation,f,way/222885498,-3.0680490326500047,37.22246547095497,ES,POINT (-3.0680490326500047 37.22246547095497)
way/222895334-220,220,f,Substation,f,way/222895334,-3.3444206059759902,39.04473702337341,ES,POINT (-3.3444206059759902 39.04473702337341)
way/222895334-400,400,f,Substation,f,way/222895334,-3.344218225222077,39.04495950694393,ES,POINT (-3.344218225222077 39.04495950694393)
way/222901014-220,220,f,Substation,f,way/222901014,-3.4930411284788443,39.24336332172922,ES,POINT (-3.4930411284788443 39.24336332172922)
way/222903016-220,220,f,Substation,f,way/222903016,-3.970824703799279,38.64708596714011,ES,POINT (-3.970824703799279 38.64708596714011)
